merchant_id,name,country,country_code,region,subregion,registration_number,company_status,company_incorporation_date,monthly_volume,dispute_count,transaction_count,last_30d_volume,last_30d_txn_count,avg_ticket_size,internal_risk_flag,pdf_summary,last_review_date,claritypay_partner
M001,GreenLeaf Retail Ltd,United Kingdom,GB,Europe,Northern Europe,09446239,,,125000.0,2,3420,125000.0,3420.0,36.55,low,Merchant Underwriting Summary (Sample)This document is a sample merchant terms and summary for use in the MLE take-home.Process this PDF asynchronously and extract text for the collated view or report.Section 1 - Merchant overviewMerchant: Sample Merchant Ltd. Country: United Kingdom. Registration: 09446239.Monthly volume band: 50k-150k GBP.Section 2 - Key terms (abbreviated)Standard BNPL terms apply. Disputes handled per scheme rules.Chargeback liability: merchant responsible for fraud and serv,2024-01-15,False
M002,MedSpa Wellness Co,United States,UM,Americas,North America,,,,89000.0,5,2100,89000.0,2100.0,42.38,high,,2024-02-01,False
M003,TechGear Electronics,Germany,DE,Europe,Western Europe,,,,210000.0,1,5800,210000.0,5800.0,36.21,low,,2024-01-20,False
M004,Safe Streets Home Ltd,United Kingdom,GB,Europe,Northern Europe,SC304267,,,78000.0,0,1890,78000.0,1890.0,41.27,low,,2024-02-05,False
M005,LaseyAway Beauty,United States,UM,Americas,North America,,,,45000.0,3,1200,45000.0,1200.0,37.5,medium,,2024-01-25,False
M006,Club Wyndham Travel,United Kingdom,GB,Europe,Northern Europe,01234567,,,320000.0,4,8900,320000.0,8900.0,35.96,medium,,2024-02-08,False
M007,Margaritaville Ventures,United States,UM,Americas,North America,,,,156000.0,2,4100,156000.0,4100.0,38.05,low,,2024-01-30,False
M008,Removery Health Ltd,United Kingdom,GB,Europe,Northern Europe,NI012345,,,67000.0,1,2100,67000.0,2100.0,31.9,low,,2024-02-10,False
M009,Urban Fit Gym,France,FR,Europe,Western Europe,,,,34000.0,0,980,34000.0,980.0,34.69,low,,2024-02-03,False
M010,PetCare Plus,United Kingdom,GB,Europe,Northern Europe,08901234,,,52000.0,2,1650,,,,,,,False
M011,StyleHub Fashion,Spain,ES,Europe,Southern Europe,,,,98000.0,6,3200,,,,,,,False
M012,CleanEats Kitchen,United Kingdom,GB,Europe,Northern Europe,OC303456,,,28000.0,1,890,,,,,,,False
M013,DriveAuto Motors,Italy,IT,Europe,Southern Europe,,,,187000.0,3,5200,,,,,,,False
M014,BookNook Education Ltd,United Kingdom,GB,Europe,Northern Europe,12674479,,,41000.0,0,1340,,,,,,,False
M015,Sunrise Solar Ltd,United Kingdom,GB,Europe,Northern Europe,LP123456,,,92000.0,2,2100,,,,,,,False
M016,DataFlow Analytics,Netherlands,NL,Europe,Western Europe,,,,76000.0,1,2400,,,,,,,False
M017,HomeComfort HVAC,United Kingdom,GB,Europe,Northern Europe,09446240,,,55000.0,4,1890,,,,,,,False
M018,FlavorTown Restaurants,Ireland,IE,Europe,Northern Europe,,,,44000.0,2,1250,,,,,,,False
M019,NextGen Software Ltd,United Kingdom,GB,Europe,Northern Europe,SC304268,,,135000.0,0,3800,,,,,,,False
M020,Artisan Crafts Co,Portugal,PT,Europe,Southern Europe,,,,22000.0,0,650,,,,,,,False
M021,HealthFirst Pharmacy Ltd,United Kingdom,GB,Europe,Northern Europe,NI012346,,,88000.0,3,2650,,,,,,,False
M022,CycleWorks Sports,Belgium,BE,Europe,Western Europe,,,,31000.0,1,920,,,,,,,False
M023,EcoPower Energy Ltd,United Kingdom,GB,Europe,Northern Europe,08901235,,,198000.0,5,5400,,,,,,,False
M024,QuickFix Repairs,Austria,AT,Europe,Central Europe,,,,27000.0,0,780,,,,,,,False
M025,Style Studio Ltd,United Kingdom,GB,Europe,Northern Europe,OC303457,,,62000.0,2,1950,,,,,,,False
M026,TravelWise Agency,Sweden,SE,Europe,Northern Europe,,,,115000.0,1,3200,,,,,,,False
M027,FoodMart Grocers Ltd,United Kingdom,GB,Europe,Northern Europe,12674480,,,73000.0,3,2450,,,,,,,False
M028,BuildRight Construction,Poland,PL,Europe,Central Europe,,,,142000.0,4,4100,,,,,,,False
M029,SmartHome Devices Ltd,United Kingdom,GB,Europe,Northern Europe,09446241,,,95000.0,0,2800,,,,,,,False
